DATAFLOW,LAST UPDATE,freq,unit,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2012,851,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2013,776,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2014,785,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2015,808,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2016,706,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2017,722,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2007,2018,704,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2011,905,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2012,826,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2013,733,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2014,740,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2015,767,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2016,672,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2017,679,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2018,682,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2019,755,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU27_2020,2020,691,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2011,958,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2012,869,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2013,784,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2014,791,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2015,815,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2016,717,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2017,733,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,EU28,2018,716,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2011,4,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2012,9,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2013,4,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2014,9,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2015,3,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2016,9,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2017,2,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2018,5,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2019,7,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FI,2020,4,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2011,130,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2012,124,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2013,133,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2014,128,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2015,119,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2016,111,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2017,105,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2018,101,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2019,160,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,FR,2020,90,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2011,15,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2012,18,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2013,8,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2014,6,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2015,7,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2016,11,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2017,11,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2018,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2019,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HR,2020,17,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2011,18,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2012,18,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2013,18,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2014,19,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2015,24,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2016,16,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2017,22,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2018,22,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2019,29,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,HU,2020,26,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2011,5,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2012,7,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2013,10,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2014,6,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2015,10,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2016,9,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2017,4,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2018,5,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2019,12,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IE,2020,12,b
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2011,0,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2012,0,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2013,0,
ESTAT:HSW_N2_02(1.0),09/03/2023 23:00,A,NR,F,IS,2014,1,
