DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2016,81,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2017,104,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2018,116,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2019,86,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2020,75,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2011,24178,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2012,21843,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2013,23944,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2014,26191,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2015,27527,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2016,27602,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2017,29344,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2018,29378,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2019,30956,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,ES,2020,26350,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2011,157788,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2012,144040,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2013,151214,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2014,170704,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2015,163335,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EU15,2016,161902,
