DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2013,1741693,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2014,1906974,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2015,1893888,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2016,1944086,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2017,1999900,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2018,2132200,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2019,2306615,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2020,2294823,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2011,154606,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2012,155865,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2013,154734,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2014,158884,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2015,165176,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2016,152882,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2017,159526,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2018,167508,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2019,167224,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DK,2020,175252,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2011,40650,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2012,42214,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2013,42888,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2014,42248,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2015,42819,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2016,43532,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2017,44544,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2018,46877,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2019,48288,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EE,2020,50064,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2011,114797,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2012,97301,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2013,96185,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2014,73457,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2015,70238,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2016,89815,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2017,68173,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2018,97729,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2019,88403,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,EL,2020,87458,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2011,1023602,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2012,838555,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2013,722895,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2014,709701,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2015,758237,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2016,802548,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2017,857671,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2018,977050,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2019,1046973,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,ES,2020,967226,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2011,156595,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2012,158021,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2013,160848,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2014,161182,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2015,160182,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2016,166207,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2017,178432,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2018,183946,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2019,184850,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FI,2020,181135,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2011,1531120,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2012,1527038,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2013,1442557,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2014,1513536,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2015,1310382,b
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2016,1426260,be
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2017,1473090,be
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2018,1516501,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2019,1566240,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,FR,2020,1658565,
